benchmark,compiler,bits,optimization,num_executables,static_basic_blocks,static_instructions,avg_instructions_per_bb
557.xz_r,Clang,64,O2,1,5585,32007,5.730886
557.xz_r,Clang,64,O3,1,6127,34860,5.689571
557.xz_r,ICC,32,O0,1,7114,60406,8.491144
557.xz_r,ICC,32,O1,1,6148,36286,5.902082
557.xz_r,ICC,32,O2,1,9597,66143,6.89205
557.xz_r,ICC,32,O3,1,9759,67534,6.920176
557.xz_r,ICC,64,O0,1,6931,55707,8.037368
557.xz_r,ICC,64,O1,1,5750,29948,5.208348
557.xz_r,ICC,64,O2,1,8963,79195,8.835769
557.xz_r,ICC,64,O3,1,9268,81163,8.757337
