benchmark,compiler,bitness,optimization,runtime_seconds,spec_rate,run_id,suite
502.gcc_r,Clang,32-bit,-O0,599.413391,2.36231,020,clang
505.mcf_r,Clang,32-bit,-O0,608.702271,2.654828,020,clang
520.omnetpp_r,Clang,32-bit,-O0,1244.126511,1.054555,020,clang
523.xalancbmk_r,Clang,32-bit,-O0,1350.391365,0.781996,020,clang
525.x264_r,Clang,32-bit,-O0,1266.961986,1.382046,020,clang
531.deepsjeng_r,Clang,32-bit,-O0,767.195504,1.493752,020,clang
541.leela_r,Clang,32-bit,-O0,2055.02689,0.805829,020,clang
557.xz_r,Clang,32-bit,-O0,809.190925,1.334666,020,clang
500.perlbench_r,Clang,64-bit,-O0,615.80164,2.585248,021,clang
502.gcc_r,Clang,64-bit,-O0,541.137235,2.616711,021,clang
505.mcf_r,Clang,64-bit,-O0,604.584165,2.672912,021,clang
520.omnetpp_r,Clang,64-bit,-O0,1048.962419,1.25076,021,clang
523.xalancbmk_r,Clang,64-bit,-O0,1144.436078,0.922725,021,clang
525.x264_r,Clang,64-bit,-O0,1201.075978,1.457859,021,clang
531.deepsjeng_r,Clang,64-bit,-O0,600.535407,1.908297,021,clang
541.leela_r,Clang,64-bit,-O0,1848.824984,0.895704,021,clang
557.xz_r,Clang,64-bit,-O0,794.181712,1.35989,021,clang
500.perlbench_r,Clang,32-bit,-O1,399.009414,3.989881,022,clang
502.gcc_r,Clang,32-bit,-O1,272.203501,5.20199,022,clang
505.mcf_r,Clang,32-bit,-O1,403.267967,4.007261,022,clang
520.omnetpp_r,Clang,32-bit,-O1,400.266869,3.277813,022,clang
523.xalancbmk_r,Clang,32-bit,-O1,257.63769,4.098779,022,clang
525.x264_r,Clang,32-bit,-O1,460.234828,3.80458,022,clang
531.deepsjeng_r,Clang,32-bit,-O1,409.552099,2.798179,022,clang
541.leela_r,Clang,32-bit,-O1,580.695058,2.851755,022,clang
557.xz_r,Clang,32-bit,-O1,394.313747,2.738936,022,clang
500.perlbench_r,Clang,64-bit,-O1,352.968944,4.510312,023,clang
502.gcc_r,Clang,64-bit,-O1,253.574653,5.584154,023,clang
505.mcf_r,Clang,64-bit,-O1,369.339674,4.375376,023,clang
520.omnetpp_r,Clang,64-bit,-O1,375.526656,3.49376,023,clang
523.xalancbmk_r,Clang,64-bit,-O1,236.878652,4.457979,023,clang
525.x264_r,Clang,64-bit,-O1,399.901929,4.378574,023,clang
531.deepsjeng_r,Clang,64-bit,-O1,291.950049,3.925329,023,clang
541.leela_r,Clang,64-bit,-O1,487.863545,3.394392,023,clang
557.xz_r,Clang,64-bit,-O1,380.885389,2.835499,023,clang
500.perlbench_r,Clang,32-bit,-O2,402.246269,3.957774,024,clang
502.gcc_r,Clang,32-bit,-O2,267.696181,5.289579,024,clang
505.mcf_r,Clang,32-bit,-O2,438.199718,3.687816,024,clang
520.omnetpp_r,Clang,32-bit,-O2,365.432839,3.590263,024,clang
